,file_name,formula,h,explicit,reward,init_xpos,init_xdot,init_theta,init_thetadot
29,symbolic_complex19_cma_swingup_fav_model.pt,((x3 * 5.046861093818434) + 1.422385813301791 * x4) / ((((-1.8336456067440756 * x4 + 1.3519432134015161 * x3) * ((x3 * 3.358596577975964) + 0.5028390468876571*x4)) * 0.3368803402380893) + -1.1550591144484552),0.0025,True,-11061.343670697986,-0.013876545516346539,-0.49999999603059514,3.6415926361968496,-0.49920192885800546
27,symbolic_complex19_cma_swingup_fav_model.pt,((x3 * 5.046861093818434) + 1.422385813301791 * x4) / ((((-1.8336456067440756 * x4 + 1.3519432134015161 * x3) * ((x3 * 3.358596577975964) + 0.5028390468876571*x4)) * 0.3368803402380893) + -1.1550591144484552),0.0025,True,-11061.34366147298,-0.19297728998371083,0.49999998654070843,2.6415926725167407,0.49920210974137674
25,symbolic_complex19_cma_swingup_fav_model.pt,((x3 * 5.046861093818434) + 1.422385813301791 * x4) / ((((-1.8336456067440756 * x4 + 1.3519432134015161 * x3) * ((x3 * 3.358596577975964) + 0.5028390468876571*x4)) * 0.3368803402380893) + -1.1550591144484552),0.0025,True,-11061.343636035768,-0.14415687772867947,-0.4999999987900931,3.6415926351815293,-0.4992018490654854
22,symbolic_complex19_cma_swingup_fav_model.pt,((x3 * 5.046861093818434) + 1.422385813301791 * x4) / ((((-1.8336456067440756 * x4 + 1.3519432134015161 * x3) * ((x3 * 3.358596577975964) + 0.5028390468876571*x4)) * 0.3368803402380893) + -1.1550591144484552),0.0025,True,-11061.343627717692,-0.47378904200632366,0.4999999963330312,2.6415926563643173,0.4992017581043774
36,symbolic_complex19_cma_swingup_fav_model.pt,((x3 * 5.046861093818434) + 1.422385813301791 * x4) / ((((-1.8336456067440756 * x4 + 1.3519432134015161 * x3) * ((x3 * 3.358596577975964) + 0.5028390468876571*x4)) * 0.3368803402380893) + -1.1550591144484552),0.01,False,-29747.313623260397,0.06450970103052955,-0.49865585696974346,3.2449325229058648,0.49957247867569304
30,symbolic_complex19_cma_swingup_fav_model.pt,((x3 * 5.046861093818434) + 1.422385813301791 * x4) / ((((-1.8336456067440756 * x4 + 1.3519432134015161 * x3) * ((x3 * 3.358596577975964) + 0.5028390468876571*x4)) * 0.3368803402380893) + -1.1550591144484552),0.01,False,-29529.507026486757,-0.3741485212557757,0.4928472331203533,3.0441326779945412,-0.4720098355090788
38,symbolic_complex19_cma_swingup_fav_model.pt,((x3 * 5.046861093818434) + 1.422385813301791 * x4) / ((((-1.8336456067440756 * x4 + 1.3519432134015161 * x3) * ((x3 * 3.358596577975964) + 0.5028390468876571*x4)) * 0.3368803402380893) + -1.1550591144484552),0.01,False,-29077.367765497977,0.33819535814429347,-0.49505367803040773,3.235453669068652,0.45513285024633254
37,symbolic_complex19_cma_swingup_fav_model.pt,((x3 * 5.046861093818434) + 1.422385813301791 * x4) / ((((-1.8336456067440756 * x4 + 1.3519432134015161 * x3) * ((x3 * 3.358596577975964) + 0.5028390468876571*x4)) * 0.3368803402380893) + -1.1550591144484552),0.01,False,-29044.419068970896,-0.012401517108783233,-0.47337625909933606,3.241446572866344,0.48305305976821344
31,symbolic_complex19_cma_swingup_fav_model.pt,((x3 * 5.046861093818434) + 1.422385813301791 * x4) / ((((-1.8336456067440756 * x4 + 1.3519432134015161 * x3) * ((x3 * 3.358596577975964) + 0.5028390468876571*x4)) * 0.3368803402380893) + -1.1550591144484552),0.01,False,-28680.205161642338,0.40039528667402824,-0.4736467857296117,3.2449089651549077,0.49924187354102906
46,symbolic_complex19_cma_swingup_fav_model.pt,((x3 * 5.046861093818434) + 1.422385813301791 * x4) / ((((-1.8336456067440756 * x4 + 1.3519432134015161 * x3) * ((x3 * 3.358596577975964) + 0.5028390468876571*x4)) * 0.3368803402380893) + -1.1550591144484552),0.005,False,-21023.83929843852,0.47670451349505816,0.49756059509096157,3.0522448675974365,-0.4326770079299681
49,symbolic_complex19_cma_swingup_fav_model.pt,((x3 * 5.046861093818434) + 1.422385813301791 * x4) / ((((-1.8336456067440756 * x4 + 1.3519432134015161 * x3) * ((x3 * 3.358596577975964) + 0.5028390468876571*x4)) * 0.3368803402380893) + -1.1550591144484552),0.005,False,-20094.336069735848,-0.3601290725380497,0.49971813325297904,3.0381275215143124,-0.4988194320131883
40,symbolic_complex19_cma_swingup_fav_model.pt,((x3 * 5.046861093818434) + 1.422385813301791 * x4) / ((((-1.8336456067440756 * x4 + 1.3519432134015161 * x3) * ((x3 * 3.358596577975964) + 0.5028390468876571*x4)) * 0.3368803402380893) + -1.1550591144484552),0.005,False,-19178.04952861837,0.31466152711918055,0.4966755625735111,3.0542820110309967,-0.4230772049543588
41,symbolic_complex19_cma_swingup_fav_model.pt,((x3 * 5.046861093818434) + 1.422385813301791 * x4) / ((((-1.8336456067440756 * x4 + 1.3519432134015161 * x3) * ((x3 * 3.358596577975964) + 0.5028390468876571*x4)) * 0.3368803402380893) + -1.1550591144484552),0.005,False,-15496.496878470944,0.03952078559712355,0.4432148415302404,3.0479250348305325,-0.45249812318346455
48,symbolic_complex19_cma_swingup_fav_model.pt,((x3 * 5.046861093818434) + 1.422385813301791 * x4) / ((((-1.8336456067440756 * x4 + 1.3519432134015161 * x3) * ((x3 * 3.358596577975964) + 0.5028390468876571*x4)) * 0.3368803402380893) + -1.1550591144484552),0.005,False,-8074.031641496197,-0.427157801020107,-0.48897024182014515,3.2366656665985474,0.48353625475388884
51,symbolic_complex19_cma_swingup_fav_model.pt,((x3 * 5.046861093818434) + 1.422385813301791 * x4) / ((((-1.8336456067440756 * x4 + 1.3519432134015161 * x3) * ((x3 * 3.358596577975964) + 0.5028390468876571*x4)) * 0.3368803402380893) + -1.1550591144484552),0.0025,False,-10191.704432523473,-0.00704127797012468,-0.49999999753017993,3.6415926531296843,-0.48447286916064974
50,symbolic_complex19_cma_swingup_fav_model.pt,((x3 * 5.046861093818434) + 1.422385813301791 * x4) / ((((-1.8336456067440756 * x4 + 1.3519432134015161 * x3) * ((x3 * 3.358596577975964) + 0.5028390468876571*x4)) * 0.3368803402380893) + -1.1550591144484552),0.0025,False,-10191.70441269821,-0.34499039975523216,0.499999997217121,2.6415926575777227,0.4844732328627309
57,symbolic_complex19_cma_swingup_fav_model.pt,((x3 * 5.046861093818434) + 1.422385813301791 * x4) / ((((-1.8336456067440756 * x4 + 1.3519432134015161 * x3) * ((x3 * 3.358596577975964) + 0.5028390468876571*x4)) * 0.3368803402380893) + -1.1550591144484552),0.0025,False,-10191.704404828419,0.017128902821606617,-0.49999999976636866,3.641592653589685,-0.4844726853734265
56,symbolic_complex19_cma_swingup_fav_model.pt,((x3 * 5.046861093818434) + 1.422385813301791 * x4) / ((((-1.8336456067440756 * x4 + 1.3519432134015161 * x3) * ((x3 * 3.358596577975964) + 0.5028390468876571*x4)) * 0.3368803402380893) + -1.1550591144484552),0.0025,False,-10191.7043992645,0.3846933705614647,0.4999999989528302,2.6415926537475682,0.4844726629475298
53,symbolic_complex19_cma_swingup_fav_model.pt,((x3 * 5.046861093818434) + 1.422385813301791 * x4) / ((((-1.8336456067440756 * x4 + 1.3519432134015161 * x3) * ((x3 * 3.358596577975964) + 0.5028390468876571*x4)) * 0.3368803402380893) + -1.1550591144484552),0.0025,False,-10191.704398756887,-0.483261710407138,0.4999999999519245,2.641592653809084,0.48447266174410053
